time,open,high,low,close,volume
2026-06-01,24.0,24.15,23.95,24.05,9694955
2026-06-02,24.0,24.05,23.7,23.7,25598352
2026-06-03,23.7,24.15,23.6,24.15,20599837
2026-06-04,24.15,24.15,23.9,23.95,10092325
2026-06-05,23.95,24.05,23.75,23.75,13891200
2026-06-08,23.65,23.75,23.3,23.3,22769900
2026-06-09,23.35,23.55,23.3,23.55,12441700
2026-06-10,23.55,23.7,23.45,23.6,7505500
2026-06-11,23.5,23.55,23.3,23.3,10177700
2026-06-12,23.55,23.55,23.2,23.2,13271400
2026-06-15,23.55,24.35,23.55,24.35,30695200
2026-06-16,24.25,24.35,24.1,24.2,14145800
2026-06-17,24.2,24.3,24.0,24.0,19039000
2026-06-18,24.05,24.15,23.65,23.65,18040500
2026-06-19,23.8,23.9,23.6,23.6,20055700
2026-06-22,23.7,23.85,23.6,23.6,10684400
2026-06-23,23.65,23.7,23.3,23.3,29071800
2026-06-24,23.4,23.6,23.3,23.5,12927300
2026-06-25,23.5,23.6,23.4,23.4,7659100
2026-06-26,23.4,23.5,23.35,23.5,15468600
2026-06-29,23.55,23.65,23.45,23.65,14158200
2026-06-30,23.7,23.7,23.25,23.3,30593200
2026-07-01,23.4,23.55,23.35,23.45,14937400
2026-07-02,23.5,23.65,23.35,23.4,13367500
2026-07-03,23.4,23.5,23.25,23.25,15935100
2026-07-06,23.4,23.6,23.0,23.1,21299300
2026-07-07,23.2,23.25,23.0,23.1,13839600
2026-07-08,23.15,23.4,23.05,23.2,12499500
2026-07-09,23.2,23.25,23.1,23.2,11643400
2026-07-10,23.2,23.25,22.95,22.95,11906800
2026-07-13,22.95,22.95,22.35,22.4,32309000
2026-07-14,22.3,22.5,22.0,22.5,22481900
2026-07-15,22.5,22.6,22.15,22.4,21464500
2026-07-16,22.3,22.4,21.8,22.2,22880600
2026-07-17,22.2,22.35,21.85,21.85,17006300
2026-07-20,21.75,21.75,20.5,20.6,53245200
