time,open,high,low,close,volume
2026-06-01,62.3,62.8,61.7,62.2,2924300
2026-06-02,62.3,62.7,61.6,61.6,5063900
2026-06-03,61.7,62.5,61.4,61.9,4431300
2026-06-04,61.8,62.5,61.7,62.2,3910600
2026-06-05,62.4,62.5,61.6,61.7,4011200
2026-06-08,61.2,62.1,60.9,61.3,7352300
2026-06-09,61.3,61.7,61.0,61.5,2564800
2026-06-10,61.6,62.2,61.6,61.7,2309200
2026-06-11,61.5,61.9,61.3,61.6,2588500
2026-06-12,61.9,62.1,61.6,61.6,3152300
2026-06-15,62.3,62.4,61.6,61.6,5222300
2026-06-16,61.8,62.3,61.6,61.8,3110000
2026-06-17,61.8,62.4,61.6,62.2,6825500
2026-06-18,62.3,62.4,61.6,61.6,4650700
2026-06-19,61.9,61.9,61.2,61.7,4869000
2026-06-22,61.7,61.8,61.2,61.3,2686300
2026-06-23,61.7,62.6,61.3,61.3,5176000
2026-06-24,61.4,61.6,61.0,61.0,2542500
2026-06-25,61.1,61.3,60.8,60.8,3093500
2026-06-26,61.0,61.5,60.8,61.4,3344300
2026-06-29,61.6,62.2,61.4,62.0,5481600
2026-06-30,62.2,62.6,61.9,62.2,4622500
2026-07-01,62.4,63.0,62.1,63.0,4232900
2026-07-02,63.0,63.1,62.1,62.1,2744500
2026-07-03,62.3,62.4,62.0,62.0,2601900
2026-07-06,62.0,62.5,60.7,61.2,4173100
2026-07-07,61.2,61.5,60.9,61.3,2547200
2026-07-08,61.3,61.8,61.1,61.6,2051000
2026-07-09,61.3,61.5,61.0,61.1,2209800
2026-07-10,61.1,61.5,60.5,60.5,3016400
2026-07-13,60.5,60.5,58.8,58.9,6789000
2026-07-14,58.9,59.5,58.6,59.2,2829200
2026-07-15,59.2,59.4,58.7,59.2,2633300
2026-07-16,59.1,59.8,58.4,59.4,3349700
2026-07-17,59.3,59.3,58.5,58.5,1990100
2026-07-20,58.8,58.8,56.3,56.7,8536800
